"payment_month","user_id","game_name","language","age","total_revenue","mrr","paid_users","arppu","new_paid_users","new_mrr","churned_users","churn_rate","churned_revenue","revenue_churn_rate","expansion_mrr","contraction_mrr","lt","ltv"
2022-03-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,ru,16,23.76,23.76,1,23.7600,1,23.76,,0.0000,,,,,6.0,23.76
2022-03-01,"4b7l8C489HEJirtoe7xtFg==",game 3,uk,20,27.15,27.15,1,27.1500,1,27.15,,0.0000,,,,,9.0,27.15
2022-03-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,ru,20,17.79,17.79,1,17.7900,1,17.79,,0.0000,,,,,9.0,17.79
2022-03-01,"72brUr/DKItStlTen5pHYg==",game 3,uk,24,24.15,24.15,1,24.1500,1,24.15,1,1.0000,24.15,,,,8.0,24.15
2022-03-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,ru,22,14.1,14.1,1,14.1000,1,14.1,,0.0000,,,,,6.0,14.1
2022-03-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,uk,20,48.45,48.45,1,48.4500,1,48.45,,0.0000,,,,,9.0,48.45
2022-03-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,ru,23,158.67,158.67,1,158.6700,1,158.67,,0.0000,,,,,9.0,158.67
2022-03-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,ru,32,38.52,38.52,1,38.5200,1,38.52,,0.0000,,,,,7.0,38.52
2022-03-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,ru,22,34.74,34.74,1,34.7400,1,34.74,,0.0000,,,,,9.0,34.74
2022-03-01,"99X4aLWWjAIgmlXjrXQIgg==",game 3,ru,22,16.98,16.98,1,16.9800,1,16.98,1,1.0000,16.98,,,,0.0,16.98
2022-03-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,uk,24,45.27,45.27,1,45.2700,1,45.27,,0.0000,,,,,7.0,45.27
2022-03-01,AN9at3LlvDamqXq8dvHD4w==,game 3,ru,24,42.03,42.03,1,42.0300,1,42.03,,0.0000,,,,,9.0,42.03
2022-03-01,b3TBQFxyCxxypmPajF+jXw==,game 3,uk,15,13.98,13.98,1,13.9800,1,13.98,,0.0000,,,,,3.0,13.98
2022-03-01,B4b6v6eUHvAVOeAQk6EEiw==,game 3,ru,23,15.3,15.3,1,15.3000,1,15.3,,0.0000,,,,,9.0,15.3
2022-03-01,Bcs3CbYx2EpbL9otxlEUmg==,game 3,uk,18,89.22,89.22,1,89.2200,1,89.22,1,1.0000,89.22,,,,7.0,89.22
2022-03-01,CCwTMcGtpirFFuqzSeTyaQ==,game 3,uk,18,15.84,15.84,1,15.8400,1,15.84,,0.0000,,,,,1.0,15.84
2022-03-01,Fx9+2aYPOHAS3fdXpLQ9Pg==,game 3,ru,35,12.54,12.54,1,12.5400,1,12.54,1,1.0000,12.54,,,,2.0,12.54
2022-03-01,Ghk2iJmzSUW4qLsmJgwOcw==,game 3,uk,16,17.13,17.13,1,17.1300,1,17.13,,,,,,,9.0,17.13
2022-03-01,H44DjZG42orzuBXLai7JkA==,game 3,ru,29,13.32,13.32,1,13.3200,1,13.32,1,1.0000,13.32,,,,0.0,13.32
2022-03-01,HJccOn6v5KHqBa8wRu42oQ==,game 3,uk,20,27.6,27.6,1,27.6000,1,27.6,1,1.0000,27.6,,,,6.0,27.6
2022-03-01,HxWcXHURvvtOJkrXAcDxQg==,game 3,uk,15,66.18,66.18,1,66.1800,1,66.18,,0.0000,,,,,9.0,66.18
2022-03-01,iFFApiXZ2wPdS666BLpKZw==,game 3,uk,18,26.85,26.85,1,26.8500,1,26.85,,0.0000,,,,,7.0,26.85
2022-03-01,J6WNl39fdxaY8ZtvV8wNkw==,game 3,uk,18,16.14,16.14,1,16.1400,1,16.14,,0.0000,,,,,3.0,16.14
2022-03-01,Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,uk,25,122.64,122.64,1,122.6400,1,122.64,,0.0000,,,,,8.0,122.64
2022-03-01,jVhb69DTRT5TSWYEiUrlbg==,game 3,uk,20,17.46,17.46,1,17.4600,1,17.46,,0.0000,,,,,9.0,17.46
2022-03-01,l3sFUsG2qpcnrEzwRnjvtQ==,game 3,ru,15,38.10,38.10,1,38.1000,1,38.10,,0.0000,,,,,1.0,38.10
2022-03-01,NMmQVq8bB84KydONJjvTfQ==,game 3,uk,18,15.33,15.33,1,15.3300,1,15.33,1,1.0000,15.33,,,,0.0,15.33
2022-03-01,o55dseByUOl9s5IQCz1kuQ==,game 3,uk,22,23.16,23.16,1,23.1600,1,23.16,,0.0000,,,,,5.0,23.16
2022-03-01,prNQwR2IPPsvGpFgOpcGaQ==,game 3,uk,14,15.66,15.66,1,15.6600,1,15.66,1,1.0000,15.66,,,,7.0,15.66
2022-03-01,pz7LUOs9i7xgncmHVxQvOw==,game 3,ru,24,36.51,36.51,1,36.5100,1,36.51,,0.0000,,,,,5.0,36.51
2022-03-01,s27V1tbCAysovKSY1XcdWQ==,game 3,uk,34,22.95,22.95,1,22.9500,1,22.95,,0.0000,,,,,4.0,22.95
2022-03-01,SyWxmJ+Ha8K2C9UJt8blVA==,game 3,ru,25,55.62,55.62,1,55.6200,1,55.62,,0.0000,,,,,8.0,55.62
2022-03-01,T+RA0/fgzbUBLF89D4AEDA==,game 3,ru,23,16.11,16.11,1,16.1100,1,16.11,,0.0000,,,,,6.0,16.11
2022-03-01,Uen3Ap0lnrgWVWJtFCSo7g==,game 3,ru,17,20.79,20.79,1,20.7900,1,20.79,1,1.0000,20.79,,,,7.0,20.79
2022-03-01,V7J42heW8l19wiBJ8UpRyw==,game 3,ru,25,49.80,49.80,1,49.8000,1,49.80,,0.0000,,,,,9.0,49.80
2022-03-01,Veep00i4vvZbTAVD6GMoiA==,game 3,uk,38,12.72,12.72,1,12.7200,1,12.72,,0.0000,,,,,8.0,12.72
2022-03-01,W6fRYNhsTNHQkvkoFEUaVQ==,game 3,uk,16,48.33,48.33,1,48.3300,1,48.33,,0.0000,,,,,9.0,48.33
2022-03-01,XE2e8BsmBo72HxABlJmsRw==,game 3,uk,20,38.16,38.16,1,38.1600,1,38.16,1,1.0000,38.16,,,,0.0,38.16
2022-03-01,xiXTXOEbWU+HnGOUmgc9/w==,game 3,uk,20,24.18,24.18,1,24.1800,1,24.18,,0.0000,,,,,5.0,24.18
2022-03-01,Y/nf8iBu/UCaNAuIRRjVwA==,game 3,uk,15,24.27,24.27,1,24.2700,1,24.27,,0.0000,,,,,7.0,24.27
2022-03-01,ZeMBdi9hmR0vUv+lyZiypQ==,game 3,uk,22,25.41,25.41,1,25.4100,1,25.41,1,1.0000,25.41,,,,0.0,25.41
2022-03-01,ZmjMhgyYl6o8iFq964FEWg==,game 3,ru,17,54.60,54.60,1,54.6000,1,54.60,,0.0000,,,,,9.0,54.60
2022-03-01,zSepnWFgLH0tQb1s4mxKZQ==,game 3,uk,24,23.01,23.01,1,23.0100,1,23.01,,0.0000,,,,,9.0,23.01
2022-04-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,ru,34,12.03,12.03,1,12.0300,1,12.03,,0.0000,,,,,7.0,12.03
2022-04-01,"2FYEYdoJMUOtbJ6TruruWA==",game 3,ru,20,56.85,56.85,1,56.8500,1,56.85,,0.0000,,,,,8.0,56.85
2022-04-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,uk,23,54.96,54.96,1,54.9600,1,54.96,,0.0000,,,,,7.0,54.96
2022-04-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,ru,16,81.42,81.42,1,81.4200,,,,0.0000,,,57.66,,6.0,105.18
2022-04-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,uk,21,59.67,59.67,1,59.6700,1,59.67,,0.0000,,,,,8.0,59.67
2022-04-01,"4b7l8C489HEJirtoe7xtFg==",game 3,uk,20,14.94,14.94,1,14.9400,,,,0.0000,,,,-12.21,9.0,42.09
2022-04-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,ru,20,125.97,125.97,1,125.9700,,,,0.0000,,,108.18,,9.0,143.76
2022-04-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,ru,22,65.97,65.97,1,65.9700,,,,0.0000,,,51.87,,6.0,80.07
2022-04-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,uk,20,53.49,53.49,1,53.4900,,,,0.0000,,,5.04,,9.0,101.94
2022-04-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,ru,23,114.15,114.15,1,114.1500,,,,0.0000,,,,-44.52,9.0,272.82
2022-04-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,ru,32,58.20,58.20,1,58.2000,,,,0.0000,,,19.68,,7.0,96.72
2022-04-01,"7luG+f1d+Ri4AjeMbFR1Xw==",game 3,uk,29,16.92,16.92,1,16.9200,1,16.92,1,1.0000,16.92,0.0114,,,5.0,16.92
2022-04-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,ru,22,105.96,105.96,1,105.9600,,,,0.0000,,,71.22,,9.0,140.70
2022-04-01,"7zbxKst2yi3pfdVI8iEChw==",game 3,ru,15,23.31,23.31,1,23.3100,1,23.31,1,1.0000,23.31,0.0156,,,8.0,23.31
2022-04-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,uk,24,13.95,13.95,1,13.9500,,,1,1.0000,13.95,0.0094,,-31.32,7.0,59.22
2022-04-01,AN9at3LlvDamqXq8dvHD4w==,game 3,ru,24,64.50,64.50,1,64.5000,,,,0.0000,,,22.47,,9.0,106.53
2022-04-01,aQDvOXzsDAJWi3Y47ptRPg==,game 3,ru,20,15.21,15.21,1,15.2100,1,15.21,,0.0000,,,,,2.0,15.21
2022-04-01,b3TBQFxyCxxypmPajF+jXw==,game 3,uk,15,14.82,14.82,1,14.8200,,,,0.0000,,,0.84,,3.0,28.80
2022-04-01,B4b6v6eUHvAVOeAQk6EEiw==,game 3,ru,23,63.60,63.60,1,63.6000,,,1,1.0000,63.60,0.0427,48.30,,9.0,78.90
2022-04-01,BJlqmsfEshc/QjsD7VgEjg==,game 3,ru,18,30.66,30.66,1,30.6600,1,30.66,1,1.0000,30.66,0.0206,,,5.0,30.66
2022-04-01,CCwTMcGtpirFFuqzSeTyaQ==,game 3,uk,18,20.76,20.76,1,20.7600,,,1,1.0000,20.76,0.0139,4.92,,1.0,36.60
2022-04-01,Dbff3x5cRk6/tUY3WQdzFQ==,game 3,uk,21,60.57,60.57,1,60.5700,1,60.57,,0.0000,,,,,5.0,60.57
2022-04-01,DorDcyqBWMg5IEaflqn5Xw==,game 3,ru,23,50.16,50.16,1,50.1600,1,50.16,,0.0000,,,,,8.0,50.16
2022-04-01,dpfu6t8G4blqMn55KM8bSg==,game 3,uk,16,33.03,33.03,1,33.0300,1,33.03,,0.0000,,,,,7.0,33.03
2022-04-01,DqezK7HAqZ+GovyRuzxD1A==,game 3,uk,23,83.19,83.19,1,83.1900,1,83.19,,0.0000,,,,,3.0,83.19
2022-04-01,eCd4MBHIR4qUWapg05TFLQ==,game 3,ru,18,23.04,23.04,1,23.0400,1,23.04,,0.0000,,,,,7.0,23.04
2022-04-01,F9Jtg6+0qPUKWDgBJxG8cA==,game 3,ru,18,48.45,48.45,1,48.4500,1,48.45,1,1.0000,48.45,0.0325,,,7.0,48.45
2022-04-01,fCdEizmUtnjNYQLbx81H8g==,game 3,ru,16,18.12,18.12,1,18.1200,1,18.12,1,1.0000,18.12,0.0122,,,0.0,18.12
2022-04-01,Fqu+/F0rn1G4YP3f3yHA1Q==,game 3,uk,21,26.28,26.28,1,26.2800,1,26.28,,0.0000,,,,,8.0,26.28
2022-04-01,GEAVJz1gd3SThbDZR01fcA==,game 3,uk,14,87.36,87.36,1,87.3600,1,87.36,,0.0000,,,,,6.0,87.36
2022-04-01,Ghk2iJmzSUW4qLsmJgwOcw==,game 3,uk,16,128.40,128.40,1,128.4000,,,,0.0000,,,111.27,,9.0,145.53
2022-04-01,gPRMy8HkmaiyX+13OxuP/A==,game 3,ru,21,55.86,55.86,1,55.8600,1,55.86,,0.0000,,,,,7.0,55.86
2022-04-01,Grpkzd4XIHh+ZbTMNxnUGg==,game 3,ru,30,35.55,35.55,1,35.5500,1,35.55,,0.0000,,,,,6.0,35.55
2022-04-01,H2Tik+BqoLgAQX4uSw/8vA==,game 3,uk,30,14.34,14.34,1,14.3400,1,14.34,,0.0000,,,,,5.0,14.34
2022-04-01,Hamw6F2EZmJfI2glmE2NEg==,game 3,ru,24,42.24,42.24,1,42.2400,1,42.24,,0.0000,,,,,7.0,42.24
2022-04-01,hkNuy6dTFIFcsQQfT5YkwQ==,game 3,uk,21,20.25,20.25,1,20.2500,1,20.25,1,1.0000,20.25,0.0136,,,0.0,20.25
2022-04-01,HRBsRwGu5mkTvZBTNpA0tQ==,game 3,ru,17,59.64,59.64,1,59.6400,1,59.64,,0.0000,,,,,1.0,59.64
2022-04-01,hRkRI5YBVIH6bbqIDTbung==,game 3,uk,19,67.26,67.26,1,67.2600,1,67.26,,0.0000,,,,,1.0,67.26
2022-04-01,HxWcXHURvvtOJkrXAcDxQg==,game 3,uk,15,82.53,82.53,1,82.5300,,,,0.0000,,,16.35,,9.0,148.71
2022-04-01,HZqx1XVZ1mb7lM9T61x+DA==,game 3,ru,43,14.61,14.61,1,14.6100,1,14.61,1,1.0000,14.61,0.0098,,,7.0,14.61
2022-04-01,iFFApiXZ2wPdS666BLpKZw==,game 3,uk,18,49.92,49.92,1,49.9200,,,1,1.0000,49.92,0.0335,23.07,,7.0,76.77
2022-04-01,iFnn4bfYgNs8OS5MCcLjeA==,game 3,uk,28,18.39,18.39,1,18.3900,1,18.39,1,1.0000,18.39,0.0123,,,7.0,18.39
2022-04-01,ilnMSoPJHAYMegDX02XG+w==,game 3,uk,25,54.03,54.03,1,54.0300,1,54.03,,0.0000,,,,,1.0,54.03
2022-04-01,J6WNl39fdxaY8ZtvV8wNkw==,game 3,uk,18,18.42,18.42,1,18.4200,,,,0.0000,,,2.28,,3.0,34.56
2022-04-01,Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,uk,25,56.16,56.16,1,56.1600,,,,0.0000,,,,-66.48,8.0,178.80
2022-04-01,jVhb69DTRT5TSWYEiUrlbg==,game 3,uk,20,58.44,58.44,1,58.4400,,,,0.0000,,,40.98,,9.0,75.90
